Date,Startup_Name,Industry,SubVertical,City,Investors,InvestmentType,Amount_USD,sector,bif_indus
2017-11-21,EpiqCapital,Finance,"Tech based investor firm",Mumbai,"Global Institutional Investors","Private Funding",200000000,Finance,Finance
2017-11-24,IDGVentures,Finance,"Venture Capitalist",Bangalore,"Uniliver Ventures","Private Funding",10000000,Finance,Finance
2017-11-24,TempGo,Technology,"IoT and SaaS based transportation platform",Goa,"Javelin StartupO Victory Fund","Seed Funding",250000,Technology,Technology
2017-11-27,Edelweiss,Finance,"Diversified Financial",Mumbai,"Undisclosed investors","Private Funding",270000000,Finance,Finance
2017-11-27,ERA,Technology,"Identity management platform",Mumbai,"Amit Patni","Seed Funding",39000,Technology,Technology
2017-11-27,Smaaash,Technology,"Virtual Reality based gaming platform",Mumbai,"Sixth Sense Ventures","Private Funding",3800000,Technology,Technology
2017-11-28,Chumbak,Lifestyle,"Designer led consumer products",Bangalore,"Gaja Capital","Private Funding",13000000,Other,Lifestyle
2017-11-28,FR8,Technology,"Online Truck aggregator platform",Chennai,"IFMR Capital",Debt,1500000,Technology,Technology
2017-11-28,MobieFit,Healthcare,"Health and fitness based mobile App",Goa,"NB Ventures, MediAssist","Seed Funding",1350000,Healthcare,Healthcare
2017-11-28,StanzaLiving,Technology,"Student accommodation platform",Delhi,"Matrix PArtners, Accel","Private Funding",2000000,Technology,Technology
2017-10-03,OlaCabs,"Consumer Internet","App based cab hailing services",Bangalore,"Tencent, Softbank Group","Private Funding",110000000,"Transportation and Logistics","App based cab hailing services"
2017-10-04,CollPoll,"Consumer Internet","Education collaboration platform",Bangalore,"Sprout Angels","Seed Funding",306000,Education,"Education collaboration platform"
2017-10-04,PhonePe,"Consumer Internet","Digital Wallet",Bangalore,Flipkart,"Private Funding",38700000,Other,"Digital Wallet"
2017-10-05,LittleBlackBook,"Consumer Internet","Local Recommendations and Discoveries Platform",Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network","Private Funding",1000000,E-Commerce,"Local Recommendations and Discoveries Platform"
2017-10-05,Oorjan,Technology,"rooftop solar platform",Mumbai,Globevestor,"Seed Funding",450000,Technology,Technology
2017-10-05,Zefo,ECommerce,"Ecommerce Portal for Used Goods",Bangalore,"Sequoia India, Helion Venture Partners, Beenext","Private Funding",9200000,E-Commerce,ECommerce
2017-10-06,Yaantra,ECommerce,"Mobile repair and Refurbishment platform",Delhi,"Carpediem Capital","Private Funding",3100000,E-Commerce,ECommerce
2017-10-06,FarmTaaza,Technology,"Fresh Produce SCM company",Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others","Private Funding",8000000,Technology,Technology
2017-10-06,Drivezy,"Consumer Internet","Self Drive car and bike rental platform",Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm","Private Funding",10000000,Automotive,"Self Drive car and bike rental platform"
2017-10-06,SlicePay,"Consumer Internet","Student Micro financing platform",Bangalore,"Das Capital, Simile Ventures","Private Funding",2000000,Finance,"Student Micro financing platform"
2017-10-09,MyGubbi,eCommerce,"Home Interior Designing Seller",Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy","Private Funding",2700000,E-Commerce,eCommerce
2017-10-09,OneStepUp,Technology,"Education Technology platform",Delhi,"Orient BlackSwan","Seed Funding",336000,Technology,Technology
2017-10-10,ParallelDots,Technology,"AI powered deep learning solutions",Gurugram,"Multipoint Capital","Private Funding",1400000,Technology,Technology
2017-10-10,EasyDiner,"Consumer Internet","online restaurant reservation platform",Gurugram,"Saama Capital and DSG Consumer Partners","Private Funding",4500000,"Food and Beverages","online restaurant reservation platform"
2017-10-11,Meesho,ECommerce,"Online Reseller Network",Bangalore,"SAIF Partners, YCombinator, Venture Highway","Private Funding",3100000,E-Commerce,ECommerce
2017-10-11,StanPlus,Logistics,"Medical Transportation Services",Hyderabad,"KStart Capital","Private Funding",1100000,"Transportation and Logistics",Logistics
2017-10-12,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,"Undisclosed investors","Seed Funding",235000,Technology,Technology
2017-10-13,PolicyBazaar,"Consumer Internet","Online insurance policy aggregator",Gurugram,"Wellington Management, DG Ventures India, True North","Private Funding",77000000,Finance,"Online insurance policy aggregator"
2017-10-13,Gapoon,"Consumer Internet","home maintenance services platform",Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur","Seed Funding",250000,Technology,"home maintenance services platform"
2017-10-13,Chaayos,eCommerce,"Online Chai ordering platform",Gurugram,"Tiger Global Management","Private Funding",2000000,E-Commerce,eCommerce
2017-10-16,KrazyBee,"Consumer Internet","Micro lending platform",Bangalore,"Xiaomi Technologies, Shunwei Capital","Private Funding",8000000,Technology,"Micro lending platform"
2017-10-16,RenewBuy,"Consumer Internet","Online Insurance Aggregator",Delhi,"Amicus Capital","Private Funding",9200000,Finance,"Online Insurance Aggregator"
2017-10-17,Fingerlix,"Consumer Internet","Food Ordering Portal",Bangalore,"Accel Partners, Zephyr Peacock","Private Funding",7000000,"Food and Beverages","Food Ordering Portal"
2017-10-18,BankBazaar,"Consumer Internet","Online Financial Marketplace",Chennai,Experian,"Private Funding",7000000,Finance,"Online Financial Marketplace"
2017-10-18,BlackBuck,Logistics,"B2B Logistics provider",Bangalore,"Innoven Capital","Private Funding",7700000,"Transportation and Logistics",Logistics
2017-10-18,LenDenClub,"Consumer Internet","Online peer to peer lending platform",Mumbai,"Undisclosed Investor","Seed Funding",500000,Technology,"Online peer to peer lending platform"
2017-10-23,Toppr,"Consumer Internet","Mobile based learning app",Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management","Private Funding",7000000,Education,"Mobile based learning app"
2017-10-23,RAWPressery,"Food & Beverage","Cold pressed Juice maker",Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital","Private Funding",6000000,"Food and Beverages","Food & Beverage"
2017-10-23,Cashe,"Consumer Internet","app only lending platform",Mumbai,"IFMR Capital",Debt,3100000,Technology,"app only lending platform"
2017-10-23,ParkEasy,"Consumer Internet","Machine learning based parking discovery",Kolkata,"Rockstart Accelerator","Seed Funding",118000,Education,"Machine learning based parking discovery"
2017-10-24,FYRE,"Food & Beverage","Herbal energy shot maker",Mumbai,"Venture Catalysts","Seed Funding",500000,"Food and Beverages","Food & Beverage"
2017-10-24,ZipLoan,"Consumer Internet","SME lending platform",Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh","Private Funding",3000000,Technology,"SME lending platform"
2017-10-24,Skillenza,"Consumer Internet","Online Learning Platform",Bangalore,"Blume Ventures, Indian Angel Network","Seed Funding",722000,Education,"Online Learning Platform"
2017-10-25,SpotDraft,"Consumer Internet","Contract Automation",Gurugram,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments","Seed Funding",550000,Automotive,"Contract Automation"
2017-10-26,BigBasket,eCommerce,"Online Grocery portal",Bangalore,"Helion Ventures Partners","Private Funding",5000000,E-Commerce,eCommerce
2017-10-27,OfBusiness,Technology,"B2B Finance & Fulfilment Network",Gurugram,"Kotak Mahindra Bank",Debt,3800000,Technology,Technology
2017-10-28,CashFree,Technology,"Payments Platform for Marketplaces and Fintechs",Delhi,"Y Combinator","Seed Funding",120000,Technology,Technology
2017-10-28,OlaCabs,"Consumer Internet","App based cab hailing services",Bangalore,"ANI Technologies Pvt. Ltd","Private Funding",7700000,"Transportation and Logistics","App based cab hailing services"
2017-10-30,GoldFarm,"Food & Beverage","Agriculture Technology",Coimbatore,"Mahindra & Mahindra and Infuse Ventures","Private Funding",2000000,"Food and Beverages","Food & Beverage"
2017-10-31,NetMeds,ECommerce,"Online Pharmacy",Chennai,"TannCam Investment & Sistema Asia Fund","Private Funding",14000000,E-Commerce,ECommerce
2017-10-31,MSE,Finance,"Equity Stock Exchange",Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala","Private Funding",32000000,Finance,Finance
2017-09-01,AahaaStores,eCommece,"Online B2B store for office supplies",Chennai,"YourNest Angel Fund","Private Funding",1000000,E-Commerce,eCommece
2017-09-01,MFine,"Consumer Internet","Online Doctor Discovery platform",Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA","Private Funding",1500000,Healthcare,"Online Doctor Discovery platform"
2017-09-01,Canvera,"Consumer Internet","Online Photography platform",Mumbai,InfoEdge,"Private Funding",1300000,Technology,"Online Photography platform"
2017-09-04,PrimaryIO,Technology,"Application Performance Acceleration",Pune,"Accel Partners, Exfinity Ventures, Partech Ventures","Private Funding",5600000,Technology,Technology
2017-09-05,ShubhLoans,"Consumer Internet","online lending platform",Bangalore,"SRI Capital, BeeNext, Pravega Ventures","Private Funding",1500000,Technology,"online lending platform"
2017-09-05,NestEducation,Technology,"EduTech Platform",Gurugram,"Michael and Susan Dell Foundation, Anand Mahindra","Seed Funding",600000,Technology,Technology
2017-09-06,LendingKart,"Consumer Internet","Online Lending Platform",Ahemdabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital","Private Funding",10750000,Technology,"Online Lending Platform"
2017-09-06,GoFro,"Consumer Internet","Online travel booking platform",Delhi,"HIS Co. Ltd, MakeMyTrip","Private Funding",10000000,Hospitality,"Online travel booking platform"
2017-09-06,OncoStem,Healthcare,"Medical Diagnostic Solutions",Bangalore,"Sequoia Capital India, Artiman Ventures","Private Funding",6000000,Healthcare,Healthcare
2017-09-06,Power2SME,eCommerce,"Buying Club for Small Businesses",Gurugram,"International Finance Corporation (IFC) Inventus Capital Partners Accel Partners Kalaari Capital and Nandan Nilekani","Private Funding",26000000,E-Commerce,eCommerce
2017-09-07,CreditVidya,"Consumer Internet","Online Credit scoring platform",Mumbai,"Matrix Partners","Private Funding",5000000,Finance,"Online Credit scoring platform"
2017-09-07,OyoRooms,"Consumer Internet","Branded budget hotels marketplace",Gurugram,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise","Private Funding",250000000,Hospitality,"Branded budget hotels marketplace"
2017-09-07,EarlySalary,"Consumer Internet","Online Unsecured Lending platform",Pune,"IFMR Capital",Debt,780000,Technology,"Online Unsecured Lending platform"
2017-09-07,Seniority,eCommerce,"Ecommerce portal for senior citizens",Pune,"RPG Enterprises","Private Funding",1000000,E-Commerce,eCommerce
2017-09-08,AYEFinance,"Consumer Internet","Micro Lending Platform",Delhi,"Triodos Investment Management",Debt,6900000,Technology,"Micro Lending Platform"
2017-09-11,EcomExpress,Logistics,"Logistics Solutions provider",Delhi,"Warburg Pincus","Private Funding",30000000,"Transportation and Logistics",Logistics
2017-09-11,CallHealth,"Consumer Internet","Healthcare Services Aggregator",Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand","Private Funding",6200000,Healthcare,"Healthcare Services Aggregator"
2017-09-12,3HCare,"Consumer Internet","Healthcare services portal",Delhi,"Undisclosed Investor","Seed Funding",100000,Healthcare,"Healthcare services portal"
2017-09-12,TonboImaging,Technology,"Imaging Technology for Armed Forces",Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures","Private Funding",17000000,Technology,Technology
2017-09-12,GetMyParking,"Consumer Internet","Smart Parking Enabler",Delhi,"IAN Fund, Beenext, Indian Angel Network","Private Funding",3000000,Other,"Smart Parking Enabler"
2017-09-13,Glowroad,"Consumer Internet","women focussed customer to customer reseller network",Bangalore,"Accel Partners","Private Funding",2000000,Other,"women focussed customer to customer reseller network"
2017-09-13,OyoRooms,"Consumer Internet","udget hotel marketplace",Gurugram,"China Lodging Group","Private Funding",10000000,Hospitality,"udget hotel marketplace"
2017-09-13,Unacademy,"Consumer Internet","Online learning platform",Mumbai,"Sequoia Capital India SAIF Partners Nexus Venture Partners and Blume Ventures","Private Funding",11500000,Education,"Online learning platform"
2017-09-13,Heterogenous,Technology,"Telecom & IoT platform",Chennai,"Chennai Angels, Keiretsu Forum & Others","Seed Funding",780000,Technology,Technology
2017-09-14,Smaaash,Technology,"Virtual Reality gaming and entertainment platform",Mumbai,"ECL Finance","Private Funding",44000000,Technology,Technology
2017-09-14,WheelStreet,"Consumer Portal","Bike Rental Platform",Bangalore,"Y Combinator","Seed Funding",120000,Other,"Consumer Portal"
2017-09-18,TheMomsCo,eCommerce,"Pregnancy & Baby Care product etailer",Gurugram,"DSG Consumer Partners, Saama Capital","Private Funding",1000000,E-Commerce,eCommerce
2017-09-19,HighRadius,Technology,"Integrated receivables software solutions",Hyderabad,"Susquehanna Growth Equity LLC","Private Funding",50000000,Technology,Technology
2017-09-21,SaveBC,Finance,"financial services firm",Gaya,"Incofin Investment Management.","Private Funding",6000000,Finance,Finance
2017-09-21,Homergize,eCommerce,"Home Furnishing & Building material marketplace",Bangalore,"LG Chandrasekhar","Private Funding",1000000,E-Commerce,eCommerce
2017-09-22,Yatra,eCommerce,"Online Travel Agency",Gurugram,"InnoVen Capital India",Debt,15400000,E-Commerce,eCommerce
2017-09-25,Synup,Technology,"SME Marketing Management Solution",Bangalore,"Vertex Ventures, Prime Venture Partners.","Private Funding",6000000,Technology,Technology
2017-09-25,Rapido,"Consumer Internet","Bike Aggregator Mobile App",Bangalore,"Battery Road Digital Holdings LLC","Seed Funding",422000,"Transportation and Logistics","Bike Aggregator Mobile App"
2017-09-25,Sportobuddy,"Consumer Internet","Sports & Sport related equipment portal",Mumbai,"Mehul Shah","Seed Funding",150000,Other,"Sports & Sport related equipment portal"
2017-09-27,Transerve,Technology,"Geospatial Technology based SaaS solutions",Mumbai,"IL&FS Investment Managers, Omidyar Network.","Private Funding",1600000,Technology,Technology
2017-09-27,Pitstop,"Consumer Internet","Car repair and Servicing Platform",Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg","Private Funding",1000000,Automotive,"Car repair and Servicing Platform"
2017-09-27,MyUpchar,"Consumer Internet","Local Language Health Information portal",Delhi,LetsVenture,"Seed Funding",300000,Healthcare,"Local Language Health Information portal"
2017-09-28,Aadyah,Technology,"Defense Tech & Aerospace startup",Bangalore,"Keiretsu Forum","Private Funding",1000000,Technology,Technology
2017-08-01,TouchKin,Technology,"Predictive Care Platform",Bangalore,"Kae Capital","Private Funding",1300000,Technology,Technology
2017-08-02,Zepo,"Consumer Internet","DIY Ecommerce platform",Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal","Seed Funding",500000,E-Commerce,"DIY Ecommerce platform"
2017-08-02,Click2Clinic,"Consumer Internet","healthcare service aggregator",Hyderabad,"Narottam Thudi, Shireesh Palle","Seed Funding",850000,Healthcare,"healthcare service aggregator"
2017-08-03,SpeedBox,Logistics,"On Demand Logistics Service provider",Mumbai,"Cismat Cargo Services Pvt. Ltd.","Seed Funding",300000,"Transportation and Logistics",Logistics
2017-08-08,NewCastleTechnologies,Technology,"Hospital Management Software",Chennai,"Undisclosed investors","Seed Funding",243000,Technology,Technology
2017-08-08,MyForexEye,"Consumer Internet","foreign exchange services",Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others","Seed Funding",220000,Services,"foreign exchange services"
2017-08-09,TruxApp,Logistics,"Mobile based Logistics Service",Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others","Seed Funding",3100000,"Transportation and Logistics",Logistics
2017-08-09,CroFarm,Technology,"Agriculture Supply Chain solutions",Gurugram,"Factor[e] Ventures","Seed Funding",783000,Technology,Technology
2017-08-11,Flipkart,eCommerce,"Online Marketplace",Bangalore,Softbank,"Private Funding",2500000000,E-Commerce,eCommerce
2017-08-11,OlaCabs,"Consumer Internet","App based cab aggregation Service",Gurugram,"Tekne Capital Management","Private Funding",36000000,"Transportation and Logistics","App based cab aggregation Service"
2017-08-14,Digilend,Technology,"Personal Loans & EMI solutions platform",Mumbai,"InCred Finance, Fullerton India Credit Company Ltd","Seed Funding",312000,Technology,Technology
2017-08-15,KNABFinance,"Consumer Internet","Unsecured Small Business Loans",Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj","Seed Funding",385000,Finance,"Unsecured Small Business Loans"
2017-08-20,Rootefy,eCommerce,"Building material online store",Delhi,"Abhinav Gupta","Seed Funding",187000,E-Commerce,eCommerce
2017-08-21,Uniphore,Technology,"speech recognition startup",Chennai,"IDG Ventures","Private Funding",6800000,Technology,Technology
2017-08-21,Cerebroz,"Consumer Internet","E Tech platform",Vadodara,"Undisclosed HNIs","Seed Funding",734000,Education,"E Tech platform"
2017-08-23,Dhruva,Technology,"Cloud data protection and management solutions",Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital","Private Funding",80000000,Technology,Technology
2017-08-23,BombayShavingCompany,eCommerce,"Men Grooming product etailer",Delhi,"Fireside Ventures","Private Funding",2300000,E-Commerce,eCommerce
2017-08-23,Indiez,Technology,"Software & Mobile app development platform",Bangalore,"Haresh Chawla","Seed Funding",500000,Technology,Technology
2017-08-24,Ezetap,Technology,"mPOS solutions provider",Bangalore,"JS Capital Management Social Capital Horizons Ventures","Private Funding",16000000,Technology,Technology
2017-08-25,InkMonk,"Consumer Internet","Online printing marketplace",Chennai,"VAMM Ventures, Raksul, Dena","Seed Funding",750000,E-Commerce,"Online printing marketplace"
2017-08-25,Medinfi,"Consumer Internet","Online Doctor Discovery Platform",Bangalore,"PBS Srinivas Vinod Martin","Seed Funding",125000,Healthcare,"Online Doctor Discovery Platform"
2017-08-28,Mobikon,Technology,"Restaurant & Hotel CRM platform",Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.","Private Funding",7000000,Technology,Technology
2017-08-29,CureFit,"Consumer Internet","End to End health and wellness platform.",Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital, UC-RNT fund","Private Funding",25000000,Healthcare,"End to End health and wellness platform."
2017-08-29,Doxper,Technology,"Healthtech IoT platform",Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others","Seed Funding",750000,Technology,Technology
2017-08-30,Treebo,"Consumer Internet","Budget Hotel Aggregator platform",Bangalore,"Ward Ferry Management and Karst Peak Capital","Private Funding",34000000,Hospitality,"Budget Hotel Aggregator platform"
2017-08-30,MedGenome,Technology,"Genomics Research and Diagnostics Solutions",Bangalore,"Sequoia India Sofina s.a. Zodius Capital Kris Gopalakrishnan Lakshmi Narayanan","Private Funding",30000000,Technology,Technology
2017-07-01,BillionLoans,"Consumer Internet","Peer to Peer Lending platform",Bangalore,"Reliance Corporate Advisory Services Ltd","Seed Funding",1000000,Technology,"Peer to Peer Lending platform"
2017-07-03,Ecolibriumenergy,Technology,"Energy management solutions provider",Ahemdabad,"Infuse Ventures, JLL","Private Funding",2600000,Technology,Technology
2017-07-04,Droom,eCommerce,"Online marketplace for automobiles",Gurugram,"Asset Management (Asia) Ltd, Digital Garage Inc","Private Funding",20000000,E-Commerce,eCommerce
2017-07-05,Jumbotail,eCommerce,"online marketplace for food and grocery",Bangalore,"Kalaari Capital, Nexus India Capital Advisors","Private Funding",8500000,E-Commerce,eCommerce
2017-07-05,Moglix,eCommerce,"B2B marketplace for Industrial products",Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway","Private Funding",12000000,E-Commerce,eCommerce
2017-07-05,Timesaverz,"Consumer Internet","Hyperlocal home services provider",Mumbai,BCCL,"Private Funding",1000000,Services,"Hyperlocal home services provider"
2017-07-07,ClipApp,"Consumer Internet","Digital Media Video platform",Bangalore,"India Quotient, Shunwei Capital","Seed Funding",1000000,Technology,"Digital Media Video platform"
2017-07-10,Autorox,Technology,"Workshop Management Software Platform",Hyderabad,"Mitsui & Co.","Private Funding",3000000,Technology,Technology
2017-07-11,Fabogo,"Consumer Internet","Salon & Spa Aggregation & Discovery platform",Pune,"Dunamis Ventures Pte Ltd","Private Funding",2250000,Technology,"Salon & Spa Aggregation & Discovery platform"
2017-07-11,Flickstree,"Consumer Internet","Video Content Discovery Platform",Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures","Seed Funding",464000,Technology,"Video Content Discovery Platform"
2017-07-12,Innoviti,Technology,"Digital payments solutions",Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures","Private Funding",18500000,Technology,Technology
2017-07-14,QwikSpec,Technology,"Construction site operations and analytics platform",Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen","Seed Funding",540000,Technology,Technology
2017-07-14,Chumbak,eCommerce,"Designer consumer products Marketplace",Bangalore,"Blacksoil Capital Pvt. Ltd","Private Funding",1700000,E-Commerce,eCommerce
2017-07-17,Increff,Technology,"Sales Solutions for Fashion Brands",Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das","Seed Funding",2000000,Technology,Technology
2017-07-17,Vayana,Technology,"Enterprise Banking Solutions",Pune,"IDG Ventures India Advisors, Jungle Ventures","Private Funding",4000000,Technology,Technology
2017-07-19,Rentomojo,"Consumer Internet","Consumer Leasing Platform",Bangalore,"ain Capital Ventures, Renaud Laplanche","Private Funding",10000000,Technology,"Consumer Leasing Platform"
2017-07-19,Playablo,Technology,"Gamified Learning App",Bangalore,"ABI-Showatech (India) Ltd","Seed Funding",600000,Technology,Technology
2017-07-20,Trupay,Technology,"Online payments platform",Gurugram,"Kae Capital M&S Partners","Seed Funding",700000,Technology,Technology
2017-07-21,Brick2Wall,eCommerce,"Online Marketplace for Construction Material",Gurugram,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others","Seed Funding",200000,E-Commerce,eCommerce
2017-07-25,Noticeboard,"Consumer Internet","Mobile first Enterprise communication platform",Bangalore,"Stellaris Venture Partners","Private Funding",1200000,Technology,"Mobile first Enterprise communication platform"
2017-07-25,BYJUs,"Consumer Internet","Mobile Learning App",Bangalore,"Tencent Holdings","Private Funding",35000000,Education,"Mobile Learning App"
2017-07-26,FabHotels,"Consumer Internet","Budget hotels brand & Aggregator Platform",Delhi,"Goldman Sachs","Private Funding",25000000,Hospitality,"Budget hotels brand & Aggregator Platform"
2017-07-26,ThinkerBell,"Consumer Internet","Assisted Learning Startup",Bangalore,"Indian Angel Network, Anand Mahindra","Seed Funding",200000,Education,"Assisted Learning Startup"
2017-07-27,1mg,eCommerce,"Online Pharmacy",Gurugram,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital","Private Funding",15000000,E-Commerce,eCommerce
2017-07-28,BigStylist,"Consumer Internet","Beauty Services Marketplace",Mumbai,"Info Edge (India) Ltd","Private Funding",1250000,E-Commerce,"Beauty Services Marketplace"
2017-06-02,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,"TVS Motor Company","Seed Funding",234000,E-Commerce,eCommerce
2017-06-05,Goomo,"Consumer Internet","Online Travel & Holiday Booking platform",Mumbai,"Emerging India","Private Funding",50000000,Hospitality,"Online Travel & Holiday Booking platform"
2017-06-06,Spinny,eCommerce,"Online Used Car marketplace",Gurugram,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon","Private Funding",1000000,E-Commerce,eCommerce
2017-06-06,BHIVEWorkspace,"Consumer Internet","co working spaces",Bangalore,"Blume Ventures","Private Funding",1200000,Other,"co working spaces"
2017-06-06,wayForward,"Consumer Internet","Mobile app for Mental Health",Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan","Seed Funding",1000000,Healthcare,"Mobile app for Mental Health"
2017-06-07,ZipLoan,"Consumer Internet","Online lending platform",Delhi,"WaterBridge Ventures","Seed Funding",650000,Technology,"Online lending platform"
2017-06-07,GrowFitter,"Consumer Internet","health and fitness discovery platform",Mumbai,"SQue Capital","Seed Funding",600000,Healthcare,"health and fitness discovery platform"
2017-06-08,Stratfit,"Consumer Internet","Health coaching programs",Hyderabad,"Bodhtree Consulting Limited","Seed Funding",232000,Healthcare,"Health coaching programs"
2017-06-08,MultiplierSolutions,Technology,"CRM Software for Healthcare space",Hyderabad,"Norwest Venture Partners","Private Funding",1500000,Technology,Technology
2017-06-08,ABIHealth,Technology,"Unified Digital Health Platform",Bangalore,"Norwest Venture Partners","Private Funding",1500000,Technology,Technology
2017-06-08,Stockal,"Consumer Internet","App based Investment advisory Services",Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha","Seed Funding",350000,Finance,"App based Investment advisory Services"
2017-06-09,Guidoo,"Consumer Internet","Travel & adventure planning platform",Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao","Seed Funding",300000,Hospitality,"Travel & adventure planning platform"
2017-06-09,eSahai,"Consumer Internet","ambulance aggregator and medical taxi provider",Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala","Seed Funding",250000,Healthcare,"ambulance aggregator and medical taxi provider"
2017-06-12,LendingKart,"Consumer Internet","Online Lending platform",Ahemdabad,"Yes Bank",Debt,7800000,Technology,"Online Lending platform"
2017-06-12,Boxxai,Technology,"Artificial Intelligence",Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava","Private Funding",500000,Technology,Technology
2017-06-12,PeeSafe,Healthcare,"Hygiene care product manufacturer",Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures","Private Funding",1000000,Healthcare,Healthcare
2017-06-12,VistaRooms,"Consumer Internet","Online rooms aggregation platform",Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham","Seed Funding",776000,Technology,"Online rooms aggregation platform"
2017-06-12,CoverFox,"Consumer Internet","Online insurance brokerage platform",Mumbai,Transamerica,"Private Funding",15000000,Finance,"Online insurance brokerage platform"
2017-06-13,Goodera,Technology,"CSR and sustainability management platform",Bangalore,"Nexus Venture Partners, Omidyar Network","Private Funding",5500000,Technology,Technology
2017-06-14,OlaCabs,"Consumer Internet","Cab Aggregation App",Bangalore,"Tekne Capital Management LLC","Private Funding",50000000,"Transportation and Logistics","Cab Aggregation App"
2017-06-14,MrNeeds,"Consumer Internet","Micro Food Delivery platform",Noida,"undisclosed investors","Seed Funding",500000,"Food and Beverages","Micro Food Delivery platform"
2017-06-15,MoneyTap,"Consumer Internet","Money Lending platform",Bangalore,"Sequoia India, NEA, Prime Venture Partners","Private Funding",12300000,Finance,"Money Lending platform"
2017-06-16,Goodbox,eCommerce,"Mobile SAAS ECommerce platform for SMEs",Bangalore,"Nexus Venture Partners, Mekin Maheshwari","Private Funding",1000000,E-Commerce,eCommerce
2017-06-16,Fincash,"Consumer Internet","Personal Finance platform",Mumbai,"Mohammed Khan, Sameer Narayan & Others","Seed Funding",100000,Finance,"Personal Finance platform"
2017-06-16,PortDesk,Technology,"Maritime Solutions",Noida,"Alphard Maritime Group","Seed Funding",2000000,Technology,Technology
2017-06-19,Unbxd,Technology,"Cloud based product discovery platform",Bangalore,"Eight Roads Ventures","Private Funding",12500000,Technology,Technology
2017-06-19,DarwinBox,Technology,"Enterprise human resources management platform",Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP","Private Funding",4000000,Technology,Technology
2017-06-20,ForeverShop,"Consumer Internet","Mobile based ecommerce platform",Bangalore,91maker.com,"Seed Funding",300000,E-Commerce,"Mobile based ecommerce platform"
2017-06-20,Insider,"Consumer Internet","Events Ticketing platform",Mumbai,Paytm,"Private Funding",5200000,Technology,"Events Ticketing platform"
